# 
# This file contains the parameter values of the Design Points successfully updated by Ansys Workbench.
# Project name: wbnew
# Creation date: 01/02/2023 16:09:43
# 
# 01/02/2023 16:09:43
# The parameters defined in the project are:
# ,P1 - Young's Modulus [Pa],P2 - Total Deformation Reported Frequency [Hz]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P1,P2
DP 0,2898000000,362.543629881372
DP 1,3129840000,376.76639208972034
DP 2,2666160000,347.73963373194647
DP 3,3013920000,369.72340857343545
DP 4,2782080000,355.21876101108927
DP 1,2857501638.4180822,360.00151808186564
DP 1,2720951639.4180684,351.29462057564837
DP 2,2966843842.869277,366.82458266945548
DP 1,2857477542.7380915,360.00000017786556
DP 1,3049840000,371.92007105669848
DP 2,2746160000,352.91816014912905
DP 3,2973920000,367.26177497873772
DP 4,2822080000,357.76326763287187
DP 1,2857485479.1552215,360.0005001218521
DP 1,2768054182.6629524,354.322214343437
DP 2,2929097454.6265116,364.48360573021682
DP 1,2857477540.4108176,360.00000003489004
DP 1,3087800000,374.22747513668179
DP 1,2948000000,365.65778794176731
DP 2,3139840000,377.36780611901895
DP 3,2756160000,353.56014303317676
DP 4,3043920000,371.5589313352877
DP 5,2852080000,359.65983414186394
DP 1,3057055222.6902633,372.35974991275503
DP 1,2992024574.6297708,368.377983459264
DP 2,3099572312.3371549,374.94017217259972
DP 1,3057059329.1309662,372.36000003968212
# 
# 01/10/2023 17:10:16
# Parameters have been added and/or removed. The parameters now defined in the project are:
# ,P1 - Young's Modulus [Pa],P2 - Total Deformation Reported Frequency [Hz]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P1,P2
DP 1,2708200000,350.47048933508688
DP 1,2790463482.001894,355.75356415135491
# 
# 01/10/2023 17:15:08
# Parameters have been added and/or removed. The parameters now defined in the project are:
# ,P1 - Young's Modulus [Pa],P2 - Total Deformation Reported Frequency [Hz]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P1,P2
DP 1,2648000000,346.55333164514087
DP 2,3079840000,373.74480584028595
DP 3,2216160000,317.03823677677752
DP 4,2863920000,360.40559899342651
DP 5,2432080000,332.12381379858914
DP 1,2229713728.2053437,318.00624001623714
DP 1,2124308622.8364432,310.39870032148673
DP 2,2315485175.775043,324.06497168355668
DP 3,2473158770.4630504,334.91691877268971
DP 1,2229626200.6927786,317.99999829237095
# 
# A non parametric change occurred and invalidated design point results.
# 01/12/2023 17:18:13
# 
# 
# 01/12/2023 17:19:23
# Parameters have been added and/or removed. The parameters now defined in the project are:
# ,P1 - Young's Modulus [Pa],P2 - Total Deformation Reported Frequency [Hz]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P1,P2
DP 1,2648000000,371.26309253957447
DP 2,3079840000,400.39335860173912
DP 3,2216160000,339.64352801945427
DP 4,2863920000,386.103046797065
DP 5,2432080000,355.80472875926722
DP 1,2108200000,331.26739454485426
DP 1,2293378597.1001768,345.51003457965254
DP 2,2487054222.8364429,359.80352552845
DP 1,2148000000,334.37971715164588
DP 2,2419840000,354.90826506867893
DP 3,1876160000,312.5055422300756
DP 4,2283920000,344.79680392036977
DP 5,2012080000,323.62749350188557
DP 1,1882125643.1984947,313.00198613147745
DP 1,1818340255.724015,307.6524402920669
DP 2,1938684443.7353826,317.67010773749331
DP 3,2037938773.9965625,325.70044635228061
DP 1,1882101754.2837842,312.99999974035848
# 
# A non parametric change occurred and invalidated design point results.
# 01/12/2023 17:34:05
# 
# 
# 01/12/2023 17:34:44
# Parameters have been added and/or removed. The parameters now defined in the project are:
# ,P1 - Young's Modulus [Pa],P2 - Total Deformation Reported Frequency [Hz]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P1,P2
DP 1,2148000000,332.41311710541379
DP 2,2419840000,352.8209296412935
DP 3,1876160000,310.66759151649342
DP 4,2283920000,342.76893737075585
DP 5,2012080000,321.72413086774981
DP 1,1904518762.5008488,313.00670590318356
DP 1,1818340255.724015,305.84303240935174
DP 2,1938684443.7353826,315.801782479401
DP 3,2037938773.9965625,323.78489202309771
DP 1,1904437165.70278,313.00000065366356
